Customer ID,Recency,Frequency,Monetary,cluster,segments,score
12877,26,11,125.97363636363637,2,Churn,3
12878,238,2,427.495,0,Potential Loss,1
12879,46,3,191.07333333333335,2,Churn,3
12881,99,1,298.0,0,Potential Loss,1
12882,11,2,731.52,3,Potential,4
12883,26,4,175.8675,2,Churn,3
12884,2,1,309.05,3,Potential,4
12885,125,3,391.74000000000007,0,Potential Loss,1
12886,250,2,689.2,0,Potential Loss,1
12888,97,2,177.06,1,Loss,2
12890,26,1,380.46999999999997,3,Potential,4
12891,158,3,110.33333333333333,1,Loss,2
12893,91,1,188.13999999999996,1,Loss,2
12895,44,2,186.4,3,Potential,4
12897,39,2,108.25,1,Loss,2
12901,12,28,630.5192857142858,4,Loyalist,5
12902,266,1,138.68,1,Loss,2
12904,20,2,254.78999999999996,3,Potential,4
12906,13,5,583.9619999999999,4,Loyalist,5
12908,178,2,375.0,0,Potential Loss,1
12909,41,5,435.73400000000004,2,Churn,3
12910,7,8,384.38000000000005,4,Loyalist,5
12912,16,5,332.46000000000004,2,Churn,3
12913,17,4,516.5025,2,Churn,3
12915,150,1,164.00000000000003,1,Loss,2
12916,140,4,751.5375000000001,0,Potential Loss,1
12917,278,1,594.0,0,Potential Loss,1
12919,4,6,222.53166666666664,4,Loyalist,5
12920,19,1,164.23,3,Potential,4
12921,11,35,454.2654285714286,4,Loyalist,5
12922,338,1,405.38000000000005,0,Potential Loss,1
12923,184,1,175.72000000000006,1,Loss,2
12924,2,4,231.43750000000003,4,Loyalist,5
12925,76,2,347.0250000000001,0,Potential Loss,1
12928,7,4,417.59,4,Loyalist,5
12929,343,1,117.85000000000001,1,Loss,2
12930,80,2,207.89999999999998,1,Loss,2
12931,23,13,3221.4584615384615,4,Loyalist,5
12933,26,3,202.51,3,Potential,4
12935,28,7,308.6714285714285,2,Churn,3
12936,19,4,265.975,2,Churn,3
12937,17,4,376.0675,2,Churn,3
12938,27,1,114.13999999999999,3,Potential,4
12939,38,8,1447.7250000000001,2,Churn,3
12940,56,2,456.77000000000004,0,Potential Loss,1
12942,133,2,212.57499999999993,1,Loss,2
12944,244,1,317.56000000000006,0,Potential Loss,1
12945,290,1,462.94999999999993,0,Potential Loss,1
12947,66,5,259.99,2,Churn,3
12948,18,7,294.99285714285725,2,Churn,3
12949,91,8,520.9025,2,Churn,3
12950,26,3,614.3333333333334,2,Churn,3
12951,175,6,177.345,2,Churn,3
12952,45,4,346.9475,2,Churn,3
12953,11,1,329.85,3,Potential,4
12955,18,11,432.4690909090909,4,Loyalist,5
12956,192,1,108.07000000000001,1,Loss,2
12957,11,8,502.1925,4,Loyalist,5
12962,115,2,133.195,1,Loss,2
12963,12,7,212.9757142857143,4,Loyalist,5
12965,32,1,771.9099999999999,0,Potential Loss,1
12966,11,1,160.18,3,Potential,4
12968,114,1,135.95,1,Loss,2
12970,302,4,113.05999999999999,1,Loss,2
12971,10,81,132.76197530864195,4,Loyalist,5
12974,199,1,144.8,1,Loss,2
12976,6,1,738.5999999999999,3,Potential,4
12977,187,1,39.239999999999995,1,Loss,2
12980,10,8,810.6975000000001,4,Loyalist,5
12981,61,2,186.11,1,Loss,2
12982,37,1,390.5399999999999,0,Potential Loss,1
12984,20,1,97.5,3,Potential,4
12985,30,2,619.6899999999999,0,Potential Loss,1
12987,75,2,279.35,0,Potential Loss,1
12988,294,1,535.3200000000002,0,Potential Loss,1
12989,2,14,480.11499999999995,4,Loyalist,5
12990,122,3,136.5,1,Loss,2
12991,25,2,251.88000000000002,3,Potential,4
12993,25,4,103.69,3,Potential,4
12994,33,3,324.8066666666667,2,Churn,3
12995,87,1,211.32,1,Loss,2
12997,2,4,306.7225,4,Loyalist,5
12999,129,3,151.95999999999995,1,Loss,2
13000,108,2,166.55,1,Loss,2
13001,24,13,755.2938461538462,4,Loyalist,5
13002,320,1,120.95,1,Loss,2
13003,34,3,49.68333333333334,1,Loss,2
13004,13,17,311.7,4,Loyalist,5
13005,160,2,256.85,0,Potential Loss,1
13006,58,1,81.57,1,Loss,2
13008,325,1,229.47000000000003,1,Loss,2
13012,11,8,207.73000000000002,4,Loyalist,5
13013,23,11,298.41818181818184,4,Loyalist,5
13014,12,10,346.62800000000004,4,Loyalist,5
13015,55,5,669.2560000000001,2,Churn,3
13016,75,3,263.2966666666666,2,Churn,3
13017,302,1,204.0,1,Loss,2
13018,18,28,259.9178571428571,4,Loyalist,5
13021,27,8,307.37874999999997,2,Churn,3
13023,184,2,299.95000000000005,0,Potential Loss,1
13026,99,5,195.07199999999997,2,Churn,3
13027,115,5,1094.4,2,Churn,3
13028,24,2,330.6600000000001,3,Potential,4
13029,91,2,432.5,0,Potential Loss,1
13030,13,1,371.73999999999995,3,Potential,4
13032,54,2,505.09000000000003,0,Potential Loss,1
13034,56,1,476.90999999999997,0,Potential Loss,1
13035,75,2,460.94,0,Potential Loss,1
13037,140,3,293.69,2,Churn,3
13038,82,3,302.82,2,Churn,3
13040,183,2,338.495,0,Potential Loss,1
13043,38,1,516.4200000000001,0,Potential Loss,1
13044,293,1,560.47,0,Potential Loss,1
13045,336,1,305.28000000000003,0,Potential Loss,1
13046,91,2,314.655,0,Potential Loss,1
13047,58,6,477.66,2,Churn,3
13048,16,4,458.9775000000001,2,Churn,3
13049,184,2,328.34000000000003,0,Potential Loss,1
13050,16,13,356.403076923077,4,Loyalist,5
13052,36,1,348.15000000000003,0,Potential Loss,1
13055,67,3,404.80333333333334,2,Churn,3
13058,1,3,90.46666666666665,3,Potential,4
13059,251,1,183.40000000000003,1,Loss,2
13060,255,1,307.53000000000003,0,Potential Loss,1
13061,74,1,248.61,0,Potential Loss,1
13062,339,1,346.98,0,Potential Loss,1
13064,2,4,279.87250000000006,4,Loyalist,5
13066,26,2,235.39999999999998,3,Potential,4
13067,84,1,115.46,1,Loss,2
13068,12,2,172.0,3,Potential,4
13069,3,20,189.6,4,Loyalist,5
13070,194,1,228.8,1,Loss,2
13072,268,1,177.15000000000003,1,Loss,2
13075,306,1,919.61,0,Potential Loss,1
13077,121,3,138.51666666666668,1,Loss,2
13078,1,24,489.4491666666667,4,Loyalist,5
13079,23,5,44.02,3,Potential,4
13080,181,1,58.08,1,Loss,2
13081,13,9,2885.622222222222,4,Loyalist,5
13082,178,9,401.5144444444444,2,Churn,3
13083,77,2,151.875,1,Loss,2
13085,218,2,208.04000000000002,1,Loss,2
13089,7,89,594.0743820224719,4,Loyalist,5
13090,21,11,718.4018181818182,4,Loyalist,5
13091,30,1,345.82000000000005,3,Potential,4
13092,6,4,73.095,3,Potential,4
13093,99,5,807.392,2,Churn,3
13094,23,11,154.87636363636366,2,Churn,3
13095,72,1,74.39999999999999,1,Loss,2
13097,79,9,633.9466666666667,2,Churn,3
13098,11,28,1031.5157142857145,4,Loyalist,5
13099,336,1,207.36,1,Loss,2
13101,236,1,101.19,1,Loss,2
13102,25,22,261.37136363636364,4,Loyalist,5
13103,41,1,243.94,3,Potential,4
13104,48,5,199.344,2,Churn,3
13106,135,1,76.5,1,Loss,2
13107,46,4,382.90500000000003,2,Churn,3
13109,31,2,393.27000000000004,3,Potential,4
13110,55,7,212.6671428571429,2,Churn,3
13113,6,23,516.216956521739,4,Loyalist,5
13115,1,4,573.695,4,Loyalist,5
13116,140,1,501.14000000000004,0,Potential Loss,1
13117,23,6,99.46,2,Churn,3
13118,21,5,239.56200000000004,2,Churn,3
13120,240,1,30.6,1,Loss,2
13121,271,1,283.7299999999999,0,Potential Loss,1
13122,185,2,461.1950000000001,0,Potential Loss,1
13124,32,2,1305.005,0,Potential Loss,1
13126,46,6,312.7,2,Churn,3
13127,79,1,259.17,0,Potential Loss,1
13130,185,1,64.0,1,Loss,2
13131,25,3,357.7666666666667,2,Churn,3
13132,263,1,77.3,1,Loss,2
13133,38,2,54.89999999999999,1,Loss,2
13134,87,4,448.395,2,Churn,3
13135,198,1,3096.0,0,Potential Loss,1
13136,36,5,521.522,2,Churn,3
13137,12,8,456.30125,4,Loyalist,5
13138,24,5,153.83200000000002,2,Churn,3
13139,18,7,723.5628571428572,4,Loyalist,5
13140,110,2,132.10500000000002,1,Loss,2
13141,86,5,477.75,2,Churn,3
13142,21,1,307.09,3,Potential,4
13144,40,1,110.94999999999999,1,Loss,2
13145,41,3,107.83999999999999,3,Potential,4
13146,28,1,228.91000000000003,3,Potential,4
13147,12,4,178.2,3,Potential,4
13148,61,11,308.8836363636363,2,Churn,3
13149,16,4,419.015,2,Churn,3
13151,297,1,1257.8700000000001,0,Potential Loss,1
13153,243,1,486.22,0,Potential Loss,1
13155,81,3,197.35333333333332,2,Churn,3
13157,7,4,435.30500000000006,4,Loyalist,5
13158,3,4,300.265,4,Loyalist,5
13159,52,4,359.4625,2,Churn,3
13160,24,1,91.80000000000001,3,Potential,4
13161,315,1,112.75,1,Loss,2
13162,94,4,422.0725,2,Churn,3
13165,48,1,666.8399999999998,0,Potential Loss,1
13166,342,1,417.2,0,Potential Loss,1
13167,20,4,194.8325,3,Potential,4
13168,201,4,329.7975,2,Churn,3
13169,154,2,356.44000000000005,0,Potential Loss,1
13170,28,1,116.01000000000002,3,Potential,4
13171,23,3,156.13666666666668,3,Potential,4
13173,213,1,187.71,1,Loss,2
13174,18,2,698.5300000000001,3,Potential,4
13176,48,1,492.8399999999999,0,Potential Loss,1
13177,184,1,282.45,0,Potential Loss,1
13178,28,10,501.5469999999999,2,Churn,3
13182,47,1,121.18,1,Loss,2
13183,88,9,439.7533333333334,2,Churn,3
13184,16,10,170.02900000000005,4,Loyalist,5
13185,269,1,71.4,1,Loss,2
13186,41,3,525.2966666666666,2,Churn,3
13187,193,1,236.01999999999998,1,Loss,2
13188,13,1,114.6,3,Potential,4
13189,20,2,130.34,3,Potential,4
13192,207,2,455.9700000000001,0,Potential Loss,1
13193,92,1,117.88000000000001,1,Loss,2
13194,137,1,60.7,1,Loss,2
13196,13,4,449.4450000000001,2,Churn,3
13198,12,5,603.3380000000001,4,Loyalist,5
13199,12,35,259.72342857142854,4,Loyalist,5
13200,21,4,217.5225,2,Churn,3
13203,11,4,217.36499999999998,3,Potential,4
13207,4,2,125.13000000000002,3,Potential,4
13208,31,5,239.88399999999996,2,Churn,3
13209,91,7,796.1085714285715,2,Churn,3
13210,155,1,353.47999999999996,0,Potential Loss,1
13211,12,2,543.36,3,Potential,4
13212,21,3,262.6933333333332,3,Potential,4
13213,58,5,304.11600000000004,2,Churn,3
13216,269,1,333.74,0,Potential Loss,1
13217,94,3,177.99333333333334,1,Loss,2
13218,247,1,62.64,1,Loss,2
13220,80,4,204.8225,2,Churn,3
13221,242,1,346.7,0,Potential Loss,1
13223,202,2,81.6,1,Loss,2
13224,34,2,1076.4750000000004,0,Potential Loss,1
13225,62,6,876.1866666666668,2,Churn,3
13226,38,1,108.21000000000001,1,Loss,2
13227,203,1,257.7,0,Potential Loss,1
13228,83,1,358.0,0,Potential Loss,1
13229,227,1,160.95000000000002,1,Loss,2
13230,61,13,208.7323076923077,2,Churn,3
13232,5,7,193.85714285714283,4,Loyalist,5
13233,76,2,302.56000000000006,0,Potential Loss,1
13235,36,1,1031.07,0,Potential Loss,1
13236,26,2,372.42499999999995,3,Potential,4
13238,19,3,203.19333333333336,3,Potential,4
13239,263,1,329.56,0,Potential Loss,1
13240,175,3,141.54333333333332,1,Loss,2
13242,67,3,90.13333333333333,1,Loss,2
13243,205,1,600.0700000000002,0,Potential Loss,1
13244,124,1,121.74000000000001,1,Loss,2
13245,52,1,430.5,0,Potential Loss,1
13246,20,6,331.21666666666664,2,Churn,3
13247,19,4,125.28,3,Potential,4
13248,156,2,232.84000000000003,1,Loss,2
13249,124,3,237.13666666666666,2,Churn,3
13253,187,2,515.2,0,Potential Loss,1
13255,11,1,173.81,3,Potential,4
13258,13,3,232.86,3,Potential,4
13259,92,1,292.32000000000016,0,Potential Loss,1
13260,92,1,557.62,0,Potential Loss,1
13261,270,2,472.05,0,Potential Loss,1
13262,265,1,200.29,1,Loss,2
13263,6,34,218.4955882352941,4,Loyalist,5
13265,2,5,421.532,4,Loyalist,5
13266,13,12,319.5216666666667,4,Loyalist,5
13267,10,17,229.36411764705883,4,Loyalist,5
13268,7,10,319.26499999999993,4,Loyalist,5
13269,2,13,360.31230769230774,4,Loyalist,5
13271,303,1,217.37999999999994,1,Loss,2
13272,32,2,138.28000000000003,3,Potential,4
13273,115,1,138.98,1,Loss,2
13276,154,2,295.46500000000003,0,Potential Loss,1
13277,17,4,64.6,3,Potential,4
13278,42,1,542.7299999999999,0,Potential Loss,1
13279,80,1,137.75000000000003,1,Loss,2
13280,94,3,271.61999999999995,2,Churn,3
13282,20,3,377.38000000000005,2,Churn,3
13283,31,2,46.83,1,Loss,2
13284,332,1,201.18999999999997,1,Loss,2
13285,25,4,677.28,2,Churn,3
13291,157,1,361.10999999999996,0,Potential Loss,1
13292,286,2,289.47,0,Potential Loss,1
13294,251,2,436.86999999999995,0,Potential Loss,1
13296,139,1,87.4,1,Loss,2
13297,25,4,522.4624999999999,2,Churn,3
13298,121,1,360.0,0,Potential Loss,1
13299,270,1,142.50000000000003,1,Loss,2
13300,171,1,371.89000000000004,0,Potential Loss,1
13301,105,4,150.04749999999999,1,Loss,2
13302,157,1,63.75,1,Loss,2
13305,23,9,207.18444444444447,2,Churn,3
13307,33,1,15.0,1,Loss,2
13308,24,3,461.83666666666676,2,Churn,3
13309,2,5,291.358,4,Loyalist,5
13310,30,3,377.3433333333333,2,Churn,3
13311,4,2,299.285,3,Potential,4
13313,24,5,311.0640000000001,2,Churn,3
13314,75,3,258.6466666666667,2,Churn,3
13316,81,4,1494.4325,0,Potential Loss,1
13317,200,4,508.90749999999997,0,Potential Loss,1
13318,121,3,213.58666666666667,2,Churn,3
13319,19,22,422.47590909090906,4,Loyalist,5
13320,67,4,387.17499999999995,2,Churn,3
13321,74,2,283.68000000000006,0,Potential Loss,1
13322,19,1,199.48000000000002,3,Potential,4
13323,23,5,157.57000000000002,2,Churn,3
13324,32,9,719.0944444444444,2,Churn,3
13325,83,1,675.3,0,Potential Loss,1
13327,114,6,480.46166666666676,2,Churn,3
13328,318,1,1308.48,0,Potential Loss,1
13329,122,1,484.79999999999995,0,Potential Loss,1
13330,124,3,380.31,0,Potential Loss,1
13332,16,1,350.90000000000003,3,Potential,4
13334,84,3,1178.9400000000003,0,Potential Loss,1
13336,79,1,795.1200000000002,0,Potential Loss,1
13338,218,1,437.02,0,Potential Loss,1
13339,202,1,860.1199999999998,0,Potential Loss,1
13340,47,7,1533.7828571428577,2,Churn,3
13341,262,1,775.85,0,Potential Loss,1
13343,179,1,303.43000000000006,0,Potential Loss,1
13344,161,3,847.9066666666663,0,Potential Loss,1
13345,289,1,339.5,0,Potential Loss,1
13347,72,1,291.36,0,Potential Loss,1
13348,184,1,233.76000000000005,1,Loss,2
13349,12,1,197.32,3,Potential,4
13350,18,2,439.56000000000006,3,Potential,4
13351,245,1,323.9400000000001,0,Potential Loss,1
13352,62,1,347.9800000000001,0,Potential Loss,1
13354,73,1,743.5299999999999,0,Potential Loss,1
13355,94,1,674.6999999999998,0,Potential Loss,1
13356,82,1,768.24,0,Potential Loss,1
13357,259,1,609.9499999999997,0,Potential Loss,1
13358,270,1,389.0299999999999,0,Potential Loss,1
13359,154,1,389.56,0,Potential Loss,1
13362,11,4,772.685,4,Loyalist,5
13363,19,2,446.25,3,Potential,4
13364,73,1,134.96,1,Loss,2
13365,183,2,1112.6850000000002,0,Potential Loss,1
13366,52,1,56.16,1,Loss,2
13368,193,2,286.70000000000005,0,Potential Loss,1
13372,32,1,328.64000000000004,3,Potential,4
13373,62,3,1104.0833333333333,0,Potential Loss,1
13375,2,1,778.6499999999997,3,Potential,4
13376,205,3,289.92,0,Potential Loss,1
13379,28,3,190.85333333333332,3,Potential,4
13381,32,6,606.5516666666667,2,Churn,3
13382,252,1,222.99,1,Loss,2
13384,47,7,593.1328571428572,2,Churn,3
13385,331,1,534.57,0,Potential Loss,1
13388,133,2,338.54999999999995,0,Potential Loss,1
13389,13,3,265.9866666666667,3,Potential,4
13390,76,1,544.08,0,Potential Loss,1
13391,205,1,59.8,1,Loss,2
13394,34,8,315.00250000000005,2,Churn,3
13395,158,1,307.7200000000001,0,Potential Loss,1
13396,61,2,680.495,0,Potential Loss,1
13397,74,5,308.826,2,Churn,3
13398,194,1,457.34000000000003,0,Potential Loss,1
13402,247,1,312.95,0,Potential Loss,1
13403,19,1,75.0,3,Potential,4
13404,36,2,126.245,3,Potential,4
13405,206,2,278.725,0,Potential Loss,1
13408,4,57,440.10245614035074,4,Loyalist,5
13410,26,5,200.612,2,Churn,3
13411,109,1,213.55,1,Loss,2
13414,135,3,463.5,0,Potential Loss,1
13416,45,2,356.25,0,Potential Loss,1
13417,207,2,320.415,0,Potential Loss,1
13418,13,13,349.8315384615385,4,Loyalist,5
13419,154,1,221.06000000000003,1,Loss,2
13420,151,2,79.925,1,Loss,2
13421,42,2,920.29,0,Potential Loss,1
13422,184,1,2626.300000000002,0,Potential Loss,1
13425,110,3,541.4033333333333,0,Potential Loss,1
13426,12,9,367.1488888888888,4,Loyalist,5
13427,21,3,194.20000000000002,3,Potential,4
13428,12,1,218.46999999999997,3,Potential,4
13429,12,4,251.70000000000005,3,Potential,4
13430,20,2,339.725,3,Potential,4
13431,2,2,634.55,3,Potential,4
13434,76,2,267.12000000000006,0,Potential Loss,1
13435,26,7,544.2699999999999,2,Churn,3
13436,121,1,196.89,1,Loss,2
13437,16,7,486.8657142857142,4,Loyalist,5
13439,257,1,283.7100000000001,0,Potential Loss,1
13441,93,1,296.64,0,Potential Loss,1
13447,25,3,376.37999999999994,2,Churn,3
13448,18,3,903.2766666666668,2,Churn,3
13449,25,1,291.88,3,Potential,4
13450,28,6,340.62000000000006,2,Churn,3
13451,6,5,595.2300000000001,4,Loyalist,5
13452,261,2,295.0,0,Potential Loss,1
13453,167,2,178.49,1,Loss,2
13455,26,1,365.4,3,Potential,4
13456,19,6,294.4533333333334,2,Churn,3
13458,7,13,650.823846153846,4,Loyalist,5
13460,51,2,91.72,1,Loss,2
13461,140,3,481.66666666666674,0,Potential Loss,1
13462,341,1,151.5,1,Loss,2
13464,1,1,674.6800000000001,3,Potential,4
13466,127,1,307.9,0,Potential Loss,1
13467,12,2,541.8550000000001,3,Potential,4
13468,1,33,145.27181818181825,4,Loyalist,5
13470,117,2,82.5,1,Loss,2
13471,23,4,632.895,2,Churn,3
13473,40,2,211.32,3,Potential,4
13474,238,1,229.59,1,Loss,2
13475,189,4,357.94499999999994,2,Churn,3
13476,180,2,619.2350000000001,0,Potential Loss,1
13477,6,6,242.43000000000006,4,Loyalist,5
13479,202,2,150.475,1,Loss,2
13481,47,5,360.91200000000003,2,Churn,3
13482,234,1,184.64000000000001,1,Loss,2
13483,215,1,140.33999999999997,1,Loss,2
13484,7,1,313.8,3,Potential,4
13485,235,1,454.23999999999995,0,Potential Loss,1
13486,80,3,374.13666666666677,2,Churn,3
13487,59,2,191.12500000000006,3,Potential,4
13488,10,12,632.1991666666665,4,Loyalist,5
13489,107,4,112.38000000000001,1,Loss,2
13491,40,8,127.42750000000001,2,Churn,3
13494,343,1,316.26000000000016,0,Potential Loss,1
13495,234,3,393.1466666666667,0,Potential Loss,1
13496,12,1,152.32,3,Potential,4
13497,311,1,194.55000000000004,1,Loss,2
13499,19,5,231.82200000000003,2,Churn,3
13500,25,3,388.92333333333335,2,Churn,3
13502,18,3,97.33333333333333,3,Potential,4
13503,73,1,216.84999999999997,1,Loss,2
13504,184,1,295.93000000000006,0,Potential Loss,1
13506,318,1,157.4,1,Loss,2
13507,109,4,619.7900000000002,2,Churn,3
13508,68,1,110.97000000000001,1,Loss,2
13509,38,6,160.7866666666667,2,Churn,3
13510,47,4,447.89,2,Churn,3
13512,262,1,251.20999999999995,1,Loss,2
13513,217,1,205.10000000000002,1,Loss,2
13514,75,1,152.20000000000002,1,Loss,2
13515,74,4,222.78,2,Churn,3
13516,23,3,463.1366666666667,2,Churn,3
13517,31,3,709.4733333333334,2,Churn,3
13518,87,1,659.4399999999998,0,Potential Loss,1
13519,80,1,122.75000000000001,1,Loss,2
13521,12,3,364.12999999999994,3,Potential,4
13522,91,1,125.80000000000001,1,Loss,2
13523,48,4,849.4825000000001,2,Churn,3
13524,42,5,136.036,2,Churn,3
13525,16,2,314.39,3,Potential,4
13527,32,7,326.78714285714284,2,Churn,3
13529,80,2,153.88,1,Loss,2
13531,207,1,178.35,1,Loss,2
13532,183,1,210.30999999999995,1,Loss,2
13533,66,3,90.26333333333334,1,Loss,2
13534,55,23,242.90782608695656,2,Churn,3
13536,11,7,492.61285714285714,4,Loyalist,5
13538,33,7,182.97857142857143,2,Churn,3
13539,87,3,210.4466666666667,2,Churn,3
13544,41,2,145.705,3,Potential,4
13546,14,3,208.99666666666667,3,Potential,4
13548,68,2,341.2049999999999,0,Potential Loss,1
13549,4,7,131.17142857142858,4,Loyalist,5
13551,321,1,91.80000000000001,1,Loss,2
13552,88,12,311.67250000000007,2,Churn,3
13555,75,4,1037.32,0,Potential Loss,1
13557,30,2,292.03000000000003,3,Potential,4
13558,25,4,151.26500000000004,3,Potential,4
13560,302,1,174.37000000000006,1,Loss,2
13561,128,1,141.86,1,Loss,2
13562,83,3,599.7766666666666,0,Potential Loss,1
13563,86,2,388.765,0,Potential Loss,1
13565,21,2,120.10999999999999,3,Potential,4
13566,42,2,437.35499999999985,0,Potential Loss,1
13568,175,1,192.85000000000002,1,Loss,2
13569,19,1,253.92999999999995,3,Potential,4
13570,68,1,239.48999999999995,0,Potential Loss,1
13571,14,12,174.36,4,Loyalist,5
13572,207,1,1384.2500000000005,0,Potential Loss,1
13573,52,2,147.2,1,Loss,2
13575,1,5,146.41400000000002,4,Loyalist,5
13576,12,17,374.5994117647058,4,Loyalist,5
13577,7,4,421.9000000000001,4,Loyalist,5
13579,16,1,302.34,3,Potential,4
13581,284,1,118.0,1,Loss,2
13583,157,1,781.0300000000001,0,Potential Loss,1
13584,192,1,142.4,1,Loss,2
13587,154,1,712.4,0,Potential Loss,1
13588,17,9,275.4388888888889,4,Loyalist,5
13589,16,2,189.82500000000002,3,Potential,4
13590,4,6,330.32,4,Loyalist,5
13591,184,3,372.3766666666667,0,Potential Loss,1
13592,67,4,61.989999999999995,1,Loss,2
13593,110,5,407.416,2,Churn,3
13594,54,1,396.96999999999997,0,Potential Loss,1
13596,14,2,348.5199999999999,3,Potential,4
13598,49,1,180.17000000000004,1,Loss,2
13599,7,19,252.6752631578948,4,Loyalist,5
13600,314,1,219.52,1,Loss,2
13601,6,2,346.65999999999997,3,Potential,4
13602,184,1,428.89,0,Potential Loss,1
13603,28,1,164.34000000000003,3,Potential,4
13606,61,3,93.51333333333334,1,Loss,2
13607,42,1,678.0099999999998,0,Potential Loss,1
13610,14,7,161.69714285714286,2,Churn,3
13611,32,2,434.32500000000005,3,Potential,4
13614,26,4,402.615,2,Churn,3
13615,320,1,417.6900000000001,0,Potential Loss,1
13617,5,3,181.39333333333335,3,Potential,4
13618,175,1,177.34000000000003,1,Loss,2
13621,118,1,213.85,1,Loss,2
13623,91,5,149.55599999999998,2,Churn,3
13626,341,1,257.23,0,Potential Loss,1
13627,31,4,331.82,2,Churn,3
13629,25,11,708.3963636363636,4,Loyalist,5
13630,77,7,290.2542857142857,2,Churn,3
13631,145,11,279.1290909090909,2,Churn,3
13632,26,5,424.2540000000001,2,Churn,3
13634,37,5,315.032,2,Churn,3
13635,276,1,1071.0300000000002,0,Potential Loss,1
13636,94,5,189.824,2,Churn,3
13637,54,3,269.75000000000006,2,Churn,3
13638,17,1,122.64,3,Potential,4
13639,76,1,1033.3399999999997,0,Potential Loss,1
13642,128,1,354.79999999999984,0,Potential Loss,1
13643,122,3,173.14666666666668,1,Loss,2
13644,18,4,656.065,2,Churn,3
13645,33,1,252.10000000000002,3,Potential,4
13647,11,4,419.53000000000003,4,Loyalist,5
13649,258,1,148.8,1,Loss,2
13650,2,6,306.0566666666667,4,Loyalist,5
13651,41,1,79.19999999999999,1,Loss,2
13652,47,2,393.14000000000004,0,Potential Loss,1
13654,37,6,451.22166666666664,2,Churn,3
13655,7,2,466.485,3,Potential,4
13656,166,2,189.82500000000005,1,Loss,2
13657,12,2,191.07,3,Potential,4
13658,11,5,527.834,4,Loyalist,5
13659,207,2,786.6000000000004,0,Potential Loss,1
13662,36,3,299.25333333333333,2,Churn,3
13663,181,1,189.47000000000003,1,Loss,2
13666,62,3,28.21666666666667,1,Loss,2
13667,151,1,305.0199999999999,0,Potential Loss,1
13668,12,20,309.29650000000004,4,Loyalist,5
13669,52,2,109.27499999999999,1,Loss,2
13670,77,1,349.7,0,Potential Loss,1
13672,39,2,93.19500000000001,1,Loss,2
13673,20,2,198.46000000000004,3,Potential,4
13675,34,2,243.41000000000003,3,Potential,4
13678,34,1,232.60000000000002,3,Potential,4
13680,41,4,930.605,2,Churn,3
13681,19,4,206.95750000000007,3,Potential,4
13682,219,1,59.5,1,Loss,2
13684,287,1,67.23000000000002,1,Loss,2
13685,47,7,445.6342857142857,2,Churn,3
13686,66,1,72.0,1,Loss,2
13689,154,1,910.0,0,Potential Loss,1
13690,31,1,172.25,3,Potential,4
13692,26,3,496.10666666666674,2,Churn,3
13694,27,48,1294.637083333333,4,Loyalist,5
13695,3,15,166.942,4,Loyalist,5
13697,334,1,151.3,1,Loss,2
13699,157,1,308.58000000000004,0,Potential Loss,1
13700,7,10,226.51200000000003,4,Loyalist,5
13703,320,1,99.5,1,Loss,2
13704,1,9,256.4511111111111,4,Loyalist,5
13705,146,2,196.86,1,Loss,2
13706,70,1,330.7900000000001,0,Potential Loss,1
