Recency,Frequency,Monetary,cluster,segments,score
10,7,345.3971428571428,2,Loyalist,5
139,3,159.46333333333334,4,Loss,1
23,4,389.31000000000006,3,Churn,3
5,11,737.88,2,Loyalist,5
8,7,336.32428571428574,2,Loyalist,5
236,1,490.08,0,Potential Loss,2
131,10,272.98400000000004,3,Churn,3
58,3,251.17000000000004,3,Churn,3
32,17,365.5611764705882,2,Loyalist,5
55,4,136.5,3,Churn,3
27,1,261.06,1,Potential,4
83,4,211.21749999999997,3,Churn,3
13,1,355.5000000000001,1,Potential,4
62,4,221.005,3,Churn,3
130,3,306.6933333333334,3,Churn,3
37,19,709.65,2,Loyalist,5
54,2,146.59000000000003,4,Loss,1
24,17,334.61176470588236,2,Loyalist,5
125,2,242.99,0,Potential Loss,2
98,1,175.25,4,Loss,1
154,1,193.35,4,Loss,1
224,1,234.0,0,Potential Loss,2
12,2,165.06,1,Potential,4
303,1,50.550000000000004,4,Loss,1
151,3,436.9966666666667,0,Potential Loss,2
2,17,415.19529411764705,2,Loyalist,5
277,1,1914.8000000000004,0,Potential Loss,2
76,6,540.0233333333333,3,Churn,3
51,7,355.0657142857143,3,Churn,3
17,4,196.16250000000002,1,Potential,4
200,2,309.48,0,Potential Loss,2
2,7,291.0214285714286,2,Loyalist,5
166,1,651.13,0,Potential Loss,2
108,2,277.935,0,Potential Loss,2
126,3,140.58000000000004,4,Loss,1
10,13,801.7846153846154,2,Loyalist,5
12,2,339.9,1,Potential,4
183,1,427.7400000000001,0,Potential Loss,2
45,5,683.854,3,Churn,3
1,7,261.90999999999997,2,Loyalist,5
185,1,30.0,4,Loss,1
214,2,139.95500000000004,4,Loss,1
246,1,442.32,0,Potential Loss,2
322,1,307.1,0,Potential Loss,2
121,8,340.08625000000006,3,Churn,3
243,3,282.6433333333333,0,Potential Loss,2
88,4,199.78250000000003,3,Churn,3
236,2,444.2199999999999,0,Potential Loss,2
5,10,429.343,2,Loyalist,5
65,2,251.82000000000005,1,Potential,4
94,1,319.94,0,Potential Loss,2
35,16,328.20750000000004,3,Churn,3
74,5,449.66,3,Churn,3
27,2,375.78000000000003,1,Potential,4
12,17,357.3105882352941,2,Loyalist,5
68,2,77.9,4,Loss,1
7,6,469.9216666666667,2,Loyalist,5
259,1,127.65,4,Loss,1
185,1,1106.7000000000003,0,Potential Loss,2
189,1,209.48000000000002,4,Loss,1
168,3,240.6966666666667,3,Churn,3
51,9,235.52999999999994,3,Churn,3
118,1,188.39999999999998,4,Loss,1
159,2,280.625,0,Potential Loss,2
1,5,211.01000000000005,2,Loyalist,5
47,2,196.525,1,Potential,4
4,16,327.93812499999996,2,Loyalist,5
186,2,184.35000000000002,4,Loss,1
191,1,129.22000000000003,4,Loss,1
49,2,209.04000000000002,1,Potential,4
149,3,355.1466666666667,0,Potential Loss,2
125,1,135.4,4,Loss,1
19,6,282.5933333333333,3,Churn,3
2,28,520.9100000000001,2,Loyalist,5
55,1,199.08000000000004,4,Loss,1
99,3,74.21666666666665,4,Loss,1
26,18,1587.8994444444443,2,Loyalist,5
32,10,352.994,3,Churn,3
63,1,91.67999999999999,4,Loss,1
218,1,122.39999999999999,4,Loss,1
317,2,460.20000000000005,0,Potential Loss,2
20,1,439.3300000000001,1,Potential,4
55,1,236.11,0,Potential Loss,2
4,104,526.7647115384618,2,Loyalist,5
1,12,431.4391666666666,2,Loyalist,5
52,7,237.4928571428572,3,Churn,3
12,45,1003.7268888888887,2,Loyalist,5
27,2,252.90000000000003,1,Potential,4
62,1,419.7000000000001,0,Potential Loss,2
26,14,416.12357142857144,2,Loyalist,5
136,3,198.07000000000002,4,Loss,1
17,14,376.6307142857143,2,Loyalist,5
37,2,232.85000000000002,1,Potential,4
53,3,203.54,3,Churn,3
74,1,72.0,4,Loss,1
51,1,526.96,0,Potential Loss,2
51,5,744.2900000000002,3,Churn,3
73,2,374.23,0,Potential Loss,2
189,1,347.49,0,Potential Loss,2
75,4,276.505,3,Churn,3
179,1,20.599999999999998,4,Loss,1
13,14,455.6978571428571,2,Loyalist,5
17,6,533.32,3,Churn,3
24,12,138.24166666666667,2,Loyalist,5
14,4,304.4,1,Potential,4
101,1,134.9,4,Loss,1
110,2,253.375,0,Potential Loss,2
23,1,916.1200000000003,0,Potential Loss,2
249,1,158.56999999999996,4,Loss,1
45,7,271.2300000000001,3,Churn,3
269,1,263.5,0,Potential Loss,2
90,2,116.625,4,Loss,1
56,4,560.1175000000002,3,Churn,3
186,1,90.65,4,Loss,1
54,2,340.82500000000005,0,Potential Loss,2
218,1,275.45000000000005,0,Potential Loss,2
13,7,445.4085714285716,2,Loyalist,5
24,8,507.7862499999999,3,Churn,3
123,2,252.425,0,Potential Loss,2
75,1,3138.04,0,Potential Loss,2
58,3,263.9866666666666,3,Churn,3
7,11,448.03454545454554,2,Loyalist,5
251,1,405.1,0,Potential Loss,2
246,1,24.4,4,Loss,1
35,4,201.25,3,Churn,3
3,13,351.8299999999999,2,Loyalist,5
4,3,149.98999999999998,1,Potential,4
263,2,656.1850000000001,0,Potential Loss,2
55,7,306.6257142857143,3,Churn,3
145,2,643.8700000000001,0,Potential Loss,2
51,3,259.47333333333336,3,Churn,3
23,3,528.8466666666667,3,Churn,3
47,5,789.228,3,Churn,3
26,1,307.12000000000006,1,Potential,4
138,1,366.13000000000005,0,Potential Loss,2
9,10,600.1590000000001,2,Loyalist,5
130,1,17.65,4,Loss,1
71,2,186.10000000000002,4,Loss,1
51,1,429.68,0,Potential Loss,2
52,1,466.98,0,Potential Loss,2
28,1,333.82000000000005,1,Potential,4
180,1,556.1199999999999,0,Potential Loss,2
200,1,127.20000000000002,4,Loss,1
245,1,69.6,4,Loss,1
86,9,219.2222222222222,3,Churn,3
79,8,753.565,3,Churn,3
190,1,512.3000000000001,0,Potential Loss,2
216,1,229.75,0,Potential Loss,2
80,9,857.2144444444444,3,Churn,3
256,1,572.3100000000002,0,Potential Loss,2
38,1,86.10000000000001,4,Loss,1
19,1,359.69,1,Potential,4
62,6,513.0666666666667,3,Churn,3
262,3,37.33,4,Loss,1
182,2,211.78,4,Loss,1
296,1,159.21000000000004,4,Loss,1
173,4,411.66,3,Churn,3
59,1,412.08000000000004,0,Potential Loss,2
52,1,172.38000000000005,4,Loss,1
81,3,423.68666666666667,3,Churn,3
99,1,373.0100000000001,0,Potential Loss,2
25,2,786.4950000000001,0,Potential Loss,2
12,29,223.36310344827587,2,Loyalist,5
127,4,310.1524999999999,3,Churn,3
62,6,210.01666666666665,3,Churn,3
24,5,287.778,3,Churn,3
81,1,2803.2,0,Potential Loss,2
37,10,587.255,3,Churn,3
89,2,142.8,4,Loss,1
87,2,351.74,0,Potential Loss,2
152,5,523.5800000000002,3,Churn,3
19,6,216.01,3,Churn,3
21,6,388.49,3,Churn,3
4,7,466.31857142857154,2,Loyalist,5
304,1,81.6,4,Loss,1
293,1,132.5,4,Loss,1
256,1,76.23000000000002,4,Loss,1
213,1,516.8000000000001,0,Potential Loss,2
37,1,88.5,4,Loss,1
2,4,201.48000000000002,2,Loyalist,5
8,8,1046.36625,2,Loyalist,5
31,1,204.25,1,Potential,4
4,17,208.43,2,Loyalist,5
58,2,285.66999999999996,0,Potential Loss,2
224,1,118.1,4,Loss,1
25,1,643.0000000000001,0,Potential Loss,2
216,2,152.95,4,Loss,1
75,4,316.28249999999997,3,Churn,3
49,5,213.88400000000001,3,Churn,3
49,1,115.58000000000001,4,Loss,1
89,4,107.25,4,Loss,1
87,4,169.49249999999998,3,Churn,3
277,1,558.7199999999999,0,Potential Loss,2
31,5,280.02599999999995,3,Churn,3
126,6,149.58666666666667,3,Churn,3
140,2,128.01999999999998,4,Loss,1
304,1,252.67999999999998,0,Potential Loss,2
62,2,199.65,1,Potential,4
216,2,960.355,0,Potential Loss,2
14,1,51.410000000000004,4,Loss,1
150,2,252.47500000000002,0,Potential Loss,2
74,1,149.75,4,Loss,1
17,2,168.3,1,Potential,4
38,8,142.16375,3,Churn,3
27,2,186.58000000000004,1,Potential,4
31,4,312.6549999999999,3,Churn,3
80,1,722.56,0,Potential Loss,2
51,6,334.205,3,Churn,3
12,16,288.364375,2,Loyalist,5
19,11,274.44090909090914,2,Loyalist,5
122,1,590.0,0,Potential Loss,2
47,1,360.85,0,Potential Loss,2
21,2,120.82999999999998,1,Potential,4
140,3,449.4433333333332,0,Potential Loss,2
18,3,88.3,1,Potential,4
117,3,294.2066666666667,3,Churn,3
17,4,376.94250000000005,3,Churn,3
77,1,350.8500000000001,0,Potential Loss,2
44,1,181.04999999999998,1,Potential,4
100,2,139.85000000000002,4,Loss,1
238,2,327.735,0,Potential Loss,2
238,1,734.9100000000001,0,Potential Loss,2
241,3,260.53,0,Potential Loss,2
40,5,185.522,3,Churn,3
4,10,295.973,2,Loyalist,5
53,3,138.52333333333334,1,Potential,4
1,6,198.82333333333335,2,Loyalist,5
284,1,815.7900000000002,0,Potential Loss,2
7,3,300.2566666666667,1,Potential,4
2,5,141.022,2,Loyalist,5
23,3,759.59,3,Churn,3
2,2,538.1000000000001,1,Potential,4
26,2,456.81000000000006,1,Potential,4
339,1,95.45,4,Loss,1
245,1,61.72,4,Loss,1
36,3,305.8566666666666,3,Churn,3
24,7,250.55,3,Churn,3
216,1,53.65,4,Loss,1
95,2,129.17000000000002,4,Loss,1
234,1,284.86000000000007,0,Potential Loss,2
1,1,249.58,1,Potential,4
18,2,204.585,1,Potential,4
89,1,124.75,4,Loss,1
117,5,301.222,3,Churn,3
327,1,310.2600000000001,0,Potential Loss,2
1,6,1202.3066666666666,2,Loyalist,5
23,12,316.2991666666666,2,Loyalist,5
4,31,321.8122580645162,2,Loyalist,5
116,2,339.69999999999993,0,Potential Loss,2
89,8,423.94,3,Churn,3
277,1,281.76,0,Potential Loss,2
49,12,437.99500000000006,3,Churn,3
24,6,664.8866666666667,3,Churn,3
64,3,555.0833333333334,3,Churn,3
276,1,262.40000000000003,0,Potential Loss,2
49,3,338.58000000000004,3,Churn,3
174,2,1363.4650000000004,0,Potential Loss,2
36,1,1575.2600000000007,0,Potential Loss,2
179,3,636.2000000000002,0,Potential Loss,2
55,5,2272.816,3,Churn,3
136,6,49.9,4,Loss,1
199,4,801.8525000000004,0,Potential Loss,2
335,1,553.75,0,Potential Loss,2
115,4,375.9125000000001,3,Churn,3
110,2,725.25,0,Potential Loss,2
16,3,767.7766666666666,3,Churn,3
47,1,731.36,0,Potential Loss,2
246,1,460.2000000000001,0,Potential Loss,2
2,2,224.05000000000004,1,Potential,4
91,1,258.28000000000003,0,Potential Loss,2
275,1,754.8700000000003,0,Potential Loss,2
143,2,1148.83,0,Potential Loss,2
53,2,1763.2600000000007,0,Potential Loss,2
52,2,186.4,1,Potential,4
82,1,1013.5799999999999,0,Potential Loss,2
123,2,726.44,0,Potential Loss,2
277,1,62.4,4,Loss,1
17,5,913.5320000000002,3,Churn,3
155,3,303.18333333333334,3,Churn,3
181,1,305.2800000000001,0,Potential Loss,2
28,4,632.225,3,Churn,3
52,2,417.73,0,Potential Loss,2
55,1,184.33999999999992,4,Loss,1
241,1,508.5500000000001,0,Potential Loss,2
315,1,91.14000000000001,4,Loss,1
221,2,370.875,0,Potential Loss,2
17,10,379.71500000000003,2,Loyalist,5
59,2,436.25500000000005,0,Potential Loss,2
37,5,329.54800000000006,3,Churn,3
86,1,213.00000000000006,4,Loss,1
127,3,91.8,4,Loss,1
190,1,310.8299999999999,0,Potential Loss,2
143,3,304.6333333333334,3,Churn,3
25,1,75.9,4,Loss,1
119,2,247.45,0,Potential Loss,2
124,2,284.46,0,Potential Loss,2
68,3,748.2333333333332,3,Churn,3
8,40,527.985,2,Loyalist,5
31,3,372.5933333333333,3,Churn,3
258,1,487.34999999999997,0,Potential Loss,2
70,6,71.57333333333334,4,Loss,1
168,3,367.87999999999994,0,Potential Loss,2
110,3,105.74999999999999,4,Loss,1
67,4,257.165,3,Churn,3
8,14,378.1721428571429,2,Loyalist,5
44,6,375.34,3,Churn,3
155,1,217.03,4,Loss,1
87,1,572.77,0,Potential Loss,2
98,2,889.7100000000002,0,Potential Loss,2
20,10,358.379,2,Loyalist,5
115,2,163.96500000000003,4,Loss,1
152,2,140.755,4,Loss,1
44,6,341.19000000000005,3,Churn,3
191,2,218.27499999999995,4,Loss,1
11,4,164.58,1,Potential,4
23,3,377.54,3,Churn,3
14,2,332.66999999999996,1,Potential,4
67,1,46.5,4,Loss,1
26,2,351.45000000000005,1,Potential,4
2,7,185.0357142857143,2,Loyalist,5
246,1,424.25999999999993,0,Potential Loss,2
71,2,110.935,4,Loss,1
8,6,212.72833333333332,2,Loyalist,5
12,2,315.84,1,Potential,4
264,1,241.89999999999998,0,Potential Loss,2
34,11,352.89909090909094,3,Churn,3
76,6,696.9500000000002,3,Churn,3
12,7,296.6171428571428,2,Loyalist,5
19,6,702.2716666666666,3,Churn,3
110,1,139.8,4,Loss,1
304,1,424.71,0,Potential Loss,2
131,1,219.87000000000003,4,Loss,1
3,3,471.98,2,Loyalist,5
326,1,35.72,4,Loss,1
17,2,1156.35,0,Potential Loss,2
262,2,580.205,0,Potential Loss,2
45,3,905.0,3,Churn,3
9,3,276.8433333333333,1,Potential,4
55,5,484.592,3,Churn,3
84,2,465.56000000000006,0,Potential Loss,2
46,4,176.3625,3,Churn,3
19,35,193.7825714285714,2,Loyalist,5
291,1,82.4,4,Loss,1
306,2,296.12,0,Potential Loss,2
8,5,369.27599999999995,2,Loyalist,5
81,2,217.09999999999997,4,Loss,1
44,3,274.33333333333337,3,Churn,3
64,5,275.91800000000006,3,Churn,3
107,5,443.15600000000006,3,Churn,3
90,2,275.21,0,Potential Loss,2
54,2,313.9100000000001,0,Potential Loss,2
12,5,343.01599999999996,2,Loyalist,5
265,1,151.45000000000002,4,Loss,1
21,2,238.45999999999998,1,Potential,4
2,8,295.035,2,Loyalist,5
143,1,167.52,4,Loss,1
54,11,601.7790909090909,3,Churn,3
292,1,154.25,4,Loss,1
27,15,169.96399999999997,2,Loyalist,5
18,4,627.3700000000001,3,Churn,3
131,5,194.45600000000002,3,Churn,3
276,1,299.5299999999999,0,Potential Loss,2
53,2,244.25,1,Potential,4
117,4,401.83500000000004,3,Churn,3
53,4,295.17,3,Churn,3
162,1,176.08,4,Loss,1
145,1,135.0,4,Loss,1
13,6,416.6716666666666,2,Loyalist,5
344,1,282.76,0,Potential Loss,2
25,3,154.05999999999997,1,Potential,4
79,2,309.745,0,Potential Loss,2
98,3,221.23333333333335,3,Churn,3
87,2,187.35000000000002,4,Loss,1
55,1,295.84999999999997,0,Potential Loss,2
80,1,220.46000000000004,4,Loss,1
122,2,568.32,0,Potential Loss,2
56,5,479.2459999999999,3,Churn,3
272,1,402.9800000000001,0,Potential Loss,2
122,4,235.755,3,Churn,3
17,10,185.08200000000002,2,Loyalist,5
304,1,89.5,4,Loss,1
63,2,358.92499999999995,0,Potential Loss,2
58,5,366.376,3,Churn,3
58,4,234.505,3,Churn,3
105,3,210.79666666666665,3,Churn,3
124,2,392.625,0,Potential Loss,2
14,15,239.01733333333328,2,Loyalist,5
272,2,719.8050000000001,0,Potential Loss,2
49,4,134.3975,1,Potential,4
28,2,187.32,1,Potential,4
20,2,232.575,1,Potential,4
46,1,172.98,1,Potential,4
109,1,226.58000000000007,0,Potential Loss,2
25,1,87.60000000000001,4,Loss,1
21,1,349.51,1,Potential,4
40,1,152.39999999999995,1,Potential,4
86,10,323.885,3,Churn,3
285,1,517.7999999999997,0,Potential Loss,2
18,7,234.03999999999994,2,Loyalist,5
16,9,538.8788888888889,2,Loyalist,5
73,2,100.41000000000001,4,Loss,1
53,9,226.07777777777778,3,Churn,3
150,2,495.0,0,Potential Loss,2
42,10,167.88600000000002,3,Churn,3
166,5,607.7700000000001,3,Churn,3
8,31,473.7974193548387,2,Loyalist,5
49,1,174.57999999999996,4,Loss,1
70,3,276.52,3,Churn,3
110,4,270.92249999999996,3,Churn,3
19,3,173.34333333333333,1,Potential,4
20,13,180.22923076923078,2,Loyalist,5
9,4,155.155,1,Potential,4
49,1,421.24999999999994,0,Potential Loss,2
1,10,450.55999999999995,2,Loyalist,5
20,4,350.57,3,Churn,3
47,1,147.66000000000003,4,Loss,1
64,4,268.0,3,Churn,3
44,1,107.75,4,Loss,1
52,1,162.53000000000003,4,Loss,1
27,2,120.84,1,Potential,4
317,1,663.9999999999999,0,Potential Loss,2
136,2,125.02499999999998,4,Loss,1
68,2,335.8950000000001,0,Potential Loss,2
179,1,131.53,4,Loss,1
87,3,320.3666666666667,3,Churn,3
87,3,157.31333333333336,4,Loss,1
2,11,363.67181818181825,2,Loyalist,5
73,3,307.86999999999995,3,Churn,3
25,9,387.4011111111111,3,Churn,3
34,1,136.35,1,Potential,4
35,3,272.74,3,Churn,3
245,2,198.355,4,Loss,1
98,4,152.355,3,Churn,3
39,12,336.5308333333333,3,Churn,3
272,1,298.9,0,Potential Loss,2
1,2,245.90999999999997,1,Potential,4
19,3,198.76000000000002,1,Potential,4
296,1,717.6199999999999,0,Potential Loss,2
25,2,261.3349999999999,1,Potential,4
304,1,400.29999999999995,0,Potential Loss,2
178,1,236.20000000000002,0,Potential Loss,2
231,1,167.35,4,Loss,1
25,7,148.96428571428575,3,Churn,3
12,6,301.6333333333334,2,Loyalist,5
270,1,818.2900000000001,0,Potential Loss,2
90,5,207.96999999999997,3,Churn,3
31,2,374.3649999999999,1,Potential,4
54,7,836.4057142857145,3,Churn,3
206,2,144.04999999999998,4,Loss,1
46,5,146.914,3,Churn,3
182,2,115.09499999999998,4,Loss,1
166,1,112.34,4,Loss,1
11,1,658.9500000000003,1,Potential,4
18,4,295.41749999999996,3,Churn,3
26,1,462.08000000000004,0,Potential Loss,2
234,1,301.25999999999993,0,Potential Loss,2
17,1,449.80999999999995,1,Potential,4
100,2,303.7149999999999,0,Potential Loss,2
344,1,310.14,0,Potential Loss,2
40,8,697.3125,3,Churn,3
7,3,508.96000000000004,1,Potential,4
3,10,345.262,2,Loyalist,5
80,1,1130.9799999999998,0,Potential Loss,2
74,1,312.93,0,Potential Loss,2
161,1,405.0,0,Potential Loss,2
100,1,234.60999999999999,0,Potential Loss,2
277,3,53.306666666666665,4,Loss,1
20,6,220.9216666666667,3,Churn,3
215,2,163.12499999999994,4,Loss,1
203,4,348.39,3,Churn,3
45,7,213.71142857142857,3,Churn,3
114,5,266.456,3,Churn,3
12,4,362.915,1,Potential,4
19,1,132.65,1,Potential,4
155,3,491.92333333333346,0,Potential Loss,2
95,1,152.2,4,Loss,1
18,4,860.1725,3,Churn,3
12,4,336.88500000000005,1,Potential,4
137,2,349.6,0,Potential Loss,2
21,4,846.5825000000001,3,Churn,3
39,10,332.168,3,Churn,3
245,1,314.59,0,Potential Loss,2
241,1,325.24,0,Potential Loss,2
23,8,169.04375000000002,3,Churn,3
18,4,464.5100000000001,3,Churn,3
24,3,570.5533333333333,3,Churn,3
58,1,22.900000000000002,4,Loss,1
4,13,470.08076923076925,2,Loyalist,5
45,1,195.0,1,Potential,4
62,1,194.95000000000005,4,Loss,1
277,1,240.68,0,Potential Loss,2
177,2,121.95000000000002,4,Loss,1
42,2,278.0949999999999,1,Potential,4
237,2,77.23,4,Loss,1
109,5,1084.8200000000002,3,Churn,3
125,1,258.6,0,Potential Loss,2
28,3,176.58333333333334,1,Potential,4
18,2,168.52,1,Potential,4
76,1,11880.839999999997,0,Potential Loss,2
273,1,375.5,0,Potential Loss,2
82,1,349.5,0,Potential Loss,2
123,1,210.77999999999994,4,Loss,1
46,2,813.0399999999998,0,Potential Loss,2
1,6,243.86166666666668,2,Loyalist,5
4,82,1353.844878048781,2,Loyalist,5
37,1,266.59999999999997,1,Potential,4
40,3,673.4666666666667,3,Churn,3
234,2,232.76500000000004,0,Potential Loss,2
159,1,455.57000000000005,0,Potential Loss,2
55,3,116.11333333333334,4,Loss,1
84,1,161.00000000000003,4,Loss,1
83,1,135.18,4,Loss,1
53,1,326.06,0,Potential Loss,2
80,5,264.694,3,Churn,3
264,1,300.38,0,Potential Loss,2
174,3,853.1500000000002,0,Potential Loss,2
41,5,252.73999999999995,3,Churn,3
2,2,164.51999999999998,1,Potential,4
44,6,235.6166666666667,3,Churn,3
130,1,537.5799999999999,0,Potential Loss,2
46,3,247.7533333333333,3,Churn,3
103,1,161.35,4,Loss,1
39,13,569.5346153846154,3,Churn,3
34,2,159.145,1,Potential,4
31,6,295.43166666666656,3,Churn,3
92,1,217.39999999999998,4,Loss,1
58,7,465.71428571428567,3,Churn,3
1,5,201.87000000000006,2,Loyalist,5
9,1,213.01,1,Potential,4
161,5,123.194,4,Loss,1
25,9,189.33666666666667,3,Churn,3
73,3,241.57666666666668,3,Churn,3
48,1,337.93,0,Potential Loss,2
96,4,1675.4100000000003,0,Potential Loss,2
14,8,804.32625,2,Loyalist,5
63,4,328.38,3,Churn,3
123,1,440.93,0,Potential Loss,2
165,1,75.3,4,Loss,1
7,3,311.7766666666667,1,Potential,4
36,1,477.32000000000005,0,Potential Loss,2
51,1,176.69000000000003,4,Loss,1
32,2,84.89999999999999,4,Loss,1
20,4,286.74999999999994,3,Churn,3
18,6,325.82,3,Churn,3
165,1,404.45,0,Potential Loss,2
236,2,355.55500000000006,0,Potential Loss,2
75,1,164.45,4,Loss,1
7,9,426.1922222222223,2,Loyalist,5
285,1,195.54999999999998,4,Loss,1
14,7,608.092857142857,2,Loyalist,5
42,3,358.95000000000005,3,Churn,3
140,4,220.38000000000002,3,Churn,3
72,4,541.44,3,Churn,3
55,2,1751.24,0,Potential Loss,2
162,3,474.5166666666666,0,Potential Loss,2
291,1,352.82000000000005,0,Potential Loss,2
338,1,190.35,4,Loss,1
12,36,439.1325,2,Loyalist,5
48,10,278.966,3,Churn,3
60,3,203.67999999999998,3,Churn,3
128,5,618.874,3,Churn,3
150,5,396.418,3,Churn,3
123,2,150.77,4,Loss,1
228,1,1049.6600000000003,0,Potential Loss,2
2,32,730.5068749999999,2,Loyalist,5
171,3,315.2633333333334,0,Potential Loss,2
5,1,161.13,1,Potential,4
45,1,375.81,0,Potential Loss,2
230,1,336.55,0,Potential Loss,2
3,6,124.88666666666667,2,Loyalist,5
70,4,385.52250000000004,3,Churn,3
77,3,149.14666666666668,4,Loss,1
155,4,135.6225,4,Loss,1
21,5,481.09000000000003,3,Churn,3
156,4,228.36499999999998,3,Churn,3
143,1,3.75,4,Loss,1
26,1,239.46000000000006,1,Potential,4
60,1,188.40000000000003,4,Loss,1
284,1,96.0,4,Loss,1
36,1,126.03,4,Loss,1
9,4,209.07500000000002,1,Potential,4
137,1,289.69999999999993,0,Potential Loss,2
74,3,393.15000000000003,3,Churn,3
13,51,733.2913725490196,2,Loyalist,5
38,7,302.1014285714286,3,Churn,3
216,1,642.5400000000001,0,Potential Loss,2
5,16,1353.7306249999997,2,Loyalist,5
246,2,530.9200000000001,0,Potential Loss,2
73,2,286.365,0,Potential Loss,2
153,2,157.125,4,Loss,1
185,1,61.28,4,Loss,1
132,1,419.6,0,Potential Loss,2
56,3,220.21666666666667,3,Churn,3
31,4,256.27250000000004,3,Churn,3
18,4,513.5600000000001,3,Churn,3
9,7,230.8314285714286,2,Loyalist,5
259,1,112.23,4,Loss,1
59,1,102.0,4,Loss,1
160,1,156.85000000000002,4,Loss,1
59,11,325.2845454545455,3,Churn,3
